codigo_do_programa;nome_do_programa;exclusao_logica_do_programa;indicador;exclusao_logica_do_indicador;unidade_de_medida;indice_de_referencia;em_apuracao?_(indice_de_referencia);data_de_apuracao;previsao_para_2022;em_apuracao?_(2022);previsao_para_2023;em_apuracao?_(2023);previsao_para_2024;em_apuracao?_(2024);previsao_para_2025;em_apuracao?_(2025);fonte;periodicidade;base_geografica;formula_de_calculo;justificativa_do_status_em_apuracao_da(s)_previsao(es)_do(s)_indice(s);justificativa_do_status_em_apuracao_do_indice_de_referencia;data_alteracao;indicador_novo?;polaridade
10;PLANO DE ATENÇÃO À SAÚDE;False;PROPORÇÃO DE CONSULTAS MÉDICAS EM PRONTO SOCORRO;;%;19.70;;30/06/2021;20.00;;20.00;;20.00;;20.00;;SISTEMA DE AUTORIZAÇÃO E FATURAMENTO ELETRÔNICO (SAFE) DO IPSEMG;Mensal;Estadual;TOTAL DE CONSULTAS MÉDICAS (DE URGÊNCIA E DE PRONTO SOCORRO) REALIZADAS / TOTAL DE CONSULTAS MÉDICAS (ELETIVAS, DE ATENÇÃO PRIMÁRIA, DE URGÊNCIA E DE PRONTO SOCORRO) REALIZADAS X 100;;;03/11/2021 14:06:00;;MENOR
11;SERVIÇOS PRESTADOS PELO IPSEMG NA REDE PRÓPRIA;False;MÉDIA DE PERMANÊNCIA - HGIP;;dias;7.39;;30/06/2021;7.60;;7.40;;7.20;;7.00;;RELATÓRIO DO SISTEMA DRG SIGCLINIC (DIAGNOSIS RELATED GROUP) E RELATÓRIOS DO SISTEMA MV;Mensal;Municipal;SOMA DOS TEMPOS DE ESTADIA DOS PACIENTES-DIA / TOTAL DE SAÍDAS;;;03/11/2021 14:06:00;;MENOR
11;SERVIÇOS PRESTADOS PELO IPSEMG NA REDE PRÓPRIA;False;TAXA DE OCUPAÇÃO HOSPITALAR - HGIP;;%;83.72;;30/06/2021;84.00;;85.00;;85.00;;85.00;;RELATÓRIO DO SISTEMA SOUL MV;Mensal;Municipal;(TOTAL DE PACIENTES-DIA NO PERÍODO / TOTAL DE LEITOS DIAS OPERACIONAIS NO PERÍODO) X 100;;;03/11/2021 14:06:00;;MAIOR
11;SERVIÇOS PRESTADOS PELO IPSEMG NA REDE PRÓPRIA;False;TAXA DE REINTERNAÇÃO - HGIP;;%;4.55;;30/06/2021;4.70;;4.50;;4.30;;4.20;;RELATÓRIO DO SISTEMA DRG SIGCLINIC  DIAGNOSIS RELATED GROUP E RELATÓRIOS DO SISTEMA MV;Mensal;Municipal;(NÚMERO DE REINTERNAÇÕES NÃO PROGRAMADAS PELA MESMA CAUSA ATÉ 30 DIAS DA ALTA HOSPITALAR / TOTAL DE SAÍDAS) X 100;;;03/11/2021 14:06:00;;MENOR
11;SERVIÇOS PRESTADOS PELO IPSEMG NA REDE PRÓPRIA;False;TAXA DE MORTALIDADE INSTITUCIONAL - HGIP;;%;5.57;;30/06/2021;5.00;;4.00;;3.80;;3.50;;RELATÓRIO DO SISTEMA DRG SIGCLINIC  DIAGNOSIS RELATED GROUP E RELATÓRIOS DO SISTEMA MV;Mensal;Municipal;(NÚMERO DE ÓBITOS APÓS 24 HORAS DE INTERNAÇÃO / TOTAL DE SAÍDAS) X 100;;;03/11/2021 14:06:00;;MENOR
11;SERVIÇOS PRESTADOS PELO IPSEMG NA REDE PRÓPRIA;False;ÍNDICE DE REAPROVEITAMENTO DE CONSULTAS - CEM;;%;17.58;;30/06/2021;16.00;;55.00;;58.00;;61.00;;SISTEMA SIAS-AGENDA E RELATÓRIO DO CENTRO DE ESPECIALIDADES MÉDICAS;Bimestral;Municipal;(NÚMERO TOTAL DE PACIENTES REALOCADOS / NÚMERO TOTAL DE VAGAS PROVENIENTES DE ABSENTEÍSMO) X 100;;;03/11/2021 14:06:00;;MAIOR
11;SERVIÇOS PRESTADOS PELO IPSEMG NA REDE PRÓPRIA;False;MÉDIA MENSAL DE CIRURGIAS REALIZADAS - HGIP;;Média;401.00;;30/06/2021;500.00;;600.00;;700.00;;720.00;;RELATÓRIO DO SISTEMA SOUL MV;Bimestral;Municipal;NÚMERO DE CIRURGIAS REALIZADAS NO HGIP / NÚMERO DE MESES APURADOS;;;03/11/2021 14:06:00;;MAIOR
11;SERVIÇOS PRESTADOS PELO IPSEMG NA REDE PRÓPRIA;False;MÉDIA MENSAL DE PROCEDIMENTOS REALIZADOS - GEODONT;;Média;;Em Apuração;;5914.00;;6801.00;;7481.00;;7855.00;;SAFE - SISTEMA DE AUTORIZAÇÃO E FATURAMENTO ELETRÔNICO DO IPSEMG.;Bimestral;Municipal;NÚMERO DE PROCEDIMENTOS REALIZADOS NA GEODONT/ NÚMERO DE MESES APURADOS;;;03/11/2021 14:06:00;;MAIOR
20;REGISTRO PÚBLICO DE EMPRESAS MERCANTIS E ATIVIDADES AFINS;False;PERCENTUAL DE ATENDIMENTO DE CERTIDÕES EM ATÉ 3 (TRÊS) DIAS ÚTEIS;;%;94.00;;01/07/2020;97.00;;98.00;;99.00;;99.00;;JUCEMG;Anual;Estadual;INDICADORPERCENTUAL DE ATENDIMENTO DE CERTIDÕES EM ATÉ 3 (TRÊS) DIAS ÚTEISFÓRMULA(SOMATÓRIO DO NÚMERO DE PEDIDOS DE CERTIDÕES ATENDIDAS EM ATÉ 3 DIAS ÚTEIS / SOMATÓRIO DO NÚMERO TOTAL DE PEDIDO DE CERTIDÕES ATENDIDAS) *100;;;03/11/2021 14:06:00;;MAIOR
20;REGISTRO PÚBLICO DE EMPRESAS MERCANTIS E ATIVIDADES AFINS;False;PERCENTUAL DE DECISÕES SINGULARES PROFERIDAS EM ATÉ 1 (HUM) DIA ÚTIL;;%;94.00;;01/07/2020;97.00;;98.00;;99.00;;99.00;;JUCEMG;Anual;Estadual;INDICADOR:PERCENTUAL DE DECISÕES SINGULARES PROFERIDAS EM ATÉ 1 (HUM) DIA ÚTIL, COMPREENDENDO TODAS AS ETAPAS DO EXAME FORMAL E SEU RESULTADO: FORMULAÇÃO DE EXIGÊNCIA, DEFERIMENTO OU INDEFERIMENTO DE ATOS EMPRESARIAIS, REFERENTES ÀS CONSTITUIÇÕES DE EMPRESAS (EIRELI E EMPRESÁRIO INDIVIDUAL) E SOCIEDADES EXCETO SOCIEDADE ANÔNIMA  E CONSÓRCIOFÓRMULA(SOMATÓRIO DO NÚMERO DE DECISÕES SINGULARES, REFERENTES ÀS CONSTITUIÇÕES DE EMPRESAS E SOCIEDADES, EXCETO SOCIEDADE ANÔNIMA E CONSÓRCIO, ATENDIDAS EM ATÉ 1 DIAS ÚTEIS / SOMATÓRIO DO NÚMERO DE DECISÕES SINGULARES, REFERENTES ÀS CONSTITUIÇÕES DE EMPRESAS E SOCIEDADES, EXCETO SOCIEDADE ANÔNIMA E CONSÓRCIO, ATENDIDAS) *100;;;03/11/2021 14:06:00;;MAIOR
20;REGISTRO PÚBLICO DE EMPRESAS MERCANTIS E ATIVIDADES AFINS;False;PERCENTUAL DE DECISÕES SINGULARES PROFERIDAS EM ATÉ 2 (DOIS) DIAS ÚTEIS;;%;94.00;;01/07/2020;97.00;;98.00;;99.00;;99.00;;JUCEMG;Anual;Estadual;INDICADOR:PERCENTUAL DE DECISÕES SINGULARES PROFERIDAS EM ATÉ 2 (DOIS) DIAS ÚTEIS, COMPREENDENDO TODAS AS ETAPAS DO EXAME FORMAL E SEU RESULTADO: FORMULAÇÃO DE EXIGÊNCIA, DEFERIMENTO OU INDEFERIMENTO DE ATOS EMPRESARIAIS, EXCETO CONSTITUIÇÕES DE EMPRESAS/SOCIEDADESFÓRMULA(SOMATÓRIO DO NÚMERO DE DECISÕES SINGULARES, EXCETO CONSTITUIÇÕES, ATENDIDAS EM ATÉ 2 DIAS ÚTEIS / SOMATÓRIO DO NÚMERO DE DECISÕES SINGULARES, EXCETO CONSTITUIÇÕES, ATENDIDAS) *100;;;03/11/2021 14:06:00;;MAIOR
20;REGISTRO PÚBLICO DE EMPRESAS MERCANTIS E ATIVIDADES AFINS;False;PERCENTUAL DE LIBERAÇÃO DE LIVROS/AUTENTICAÇÃO DE LIVROS EM ATÉ 2 (DOIS) DIAS ÚTEIS;;%;94.00;;01/07/2020;97.00;;98.00;;99.00;;99.00;;JUCEMG;Anual;Estadual;INDICADOR:PERCENTUAL DE LIBERAÇÃO DE LIVROS/AUTENTICAÇÃO DE LIVROS EM ATÉ 2 (DOIS) DIAS ÚTEISFÓRMULA(SOMATÓRIO DO NÚMERO DE LIBERAÇÃO DE LIVROS/AUTENTICAÇÃO DE LIVROS EM ATÉ 2 DIAS ÚTEIS / SOMATÓRIO DO NÚMERO DE LIBERAÇÃO DE LIVROS/AUTENTICAÇÃO DE LIVROS) *100;;;03/11/2021 14:06:00;;MAIOR
20;REGISTRO PÚBLICO DE EMPRESAS MERCANTIS E ATIVIDADES AFINS;False;PERCENTUAL DE DECISÕES COLEGIADAS PROFERIDAS EM ATÉ 5 (CINCO) DIAS ÚTEIS;;%;94.00;;01/07/2020;97.00;;98.00;;99.00;;99.00;;JUCEMG;Anual;Estadual;INDICADOR:PERCENTUAL DE DECISÕES COLEGIADAS PROFERIDAS EM ATÉ 5 (CINCO) DIAS ÚTEIS, COMPREENDENDO TODAS AS ETAPAS DO EXAME FORMAL E SEU RESULTADO: FORMULAÇÃO DE EXIGÊNCIA, DEFERIMENTO OU INDEFERIMENTO DE ATOS EMPRESARIAIS (CONSTITUIÇÃO DE S/A, TODOS OS ATOS DE CONSÓRCIOS E OPERAÇÕES COMPLEXAS:  TRANSFORMAÇÃO, CISÃO, INCORPORAÇÃO E FUSÃO)FÓRMULA DE CÁLCULO:(SOMATÓRIO DO NÚMERO DE DECISÕES COLEGIADAS ATENDIDAS EM ATÉ 5 DIAS ÚTEIS / SOMATÓRIO DO NÚMERO DE DECISÕES COLEGIADAS ATENDIDAS) *100;;;03/11/2021 14:06:00;;MAIOR
21;DESENVOLVIMENTO DO ENSINO SUPERIOR NA UEMG;False;POPULAÇÃO BENEFICIADA PELAS AÇÕES DESENVOLVIDAS PELA UEMG;;UNIDADE;1659063.00;;31/12/2019;1700000.00;;1710000.00;;1730000.00;;1740000.00;;SISTEMA INTERGRADO DE GESTÃO ACADÊMICA - SIGA - MÓDULO EXTENSÃO;Anual;Estadual;SOMATÓRIO DAS PESSOAS BENEFICIADAS PELAS AÇÕES DESENVOLVIDAS PELA UEMG;;;03/11/2021 14:06:00;;MAIOR
21;DESENVOLVIMENTO DO ENSINO SUPERIOR NA UEMG;False;PERCENTUAL DE CURSOS DE GRADUAÇÃO EM FUNCIONAMENTO NA UEMG COM QUALIDADE AFERIDA POR AVALIAÇÃO DO CEE/MG E/OU DO ENADE.;;Percentual %;45.00;;31/12/2019;55.00;;60.00;;65.00;;70.00;;PRÓ-REITORIA DE ENSINO;Anual;Estadual;(CGQ/TCG*100) SENDO QUE 2019/2020/2021/2022CGQ: TOTAL DE CURSOS DA GRADUAÇÃO QUE TENHAM OBTIDO NOTA ACIMA DE 80% NA AVALIAÇÃO DO CEE/MG E/OU NOTA MÍNIMA DE 4(QUATRO) NO ENADE.TCG: TOTAL DE CURSOS DA GRADUAÇÃO AVALIADOS.SERÁ CONSIDERADA PARA EFEITO DE CÁLCULO A NOTA DA ÚLTIMA AVALIAÇÃO DO CURSO.;;;03/11/2021 14:06:00;;MAIOR
23;AUXÍLIO FINANCEIRO AO SEGURADO;False;PERCENTUAL DE AUXÍLIOS FINANCEIROS CONCEDIDOS NO PRAZO;;%;;Em Apuração;;85.00;;85.00;;85.00;;85.00;;SISSO/SISD (SISTEMAS DEPARTAMENTAIS);Mensal;Estadual;(SOMA DOS BENEFÍCIOS CONCEDIDOS NO PRAZO / SOMA DE BENEFÍCIOS CONCEDIDOS) *100;;;03/11/2021 14:06:00;;MAIOR
24;APOIO AO DESENVOLVIMENTO MUNICIPAL, À CAPTAÇÃO E À COORDENAÇÃO DA TRANSFERÊNCIA DE RECURSOS;False;PERCENTUAL DE INSTRUMENTOS CELEBRADOS QUE NÃO APRESENTEM IMPEDIMENTOS DE ORDEM TÉCNICA  PARA PAGAMENTO PAGOS;;Percentual;;Em Apuração;;100.00;;100.00;;100.00;;0.00;;SIGCON E SIAFI;Anual;Estadual;(NÚMERO DE INSTRUMENTOS CELEBRADOS QUE TIVERAM COMO ORIGEM EMENDA PARLAMENTAR INDIVIDUAL IMPOSITIVA PAGOS)/ NÚMERO DE INSTRUMENTOS CELEBRADOS QUE TIVERAM COMO ORIGEM EMENDA PARLAMENTAR INDIVIDUAL IMPOSITIVA)X100;;;03/11/2021 14:06:00;;MAIOR
25;PROGRAMA ESTADUAL DE ASSISTÊNCIA AO PECÚLIO DOS SERVIDORES DO ESTADO DE MINAS GERAIS;False;PERCENTUAL DE SEGUROS E PECÚLIOS CONCEDIDOS NO PRAZO;;%;56.58;;31/12/2020;80.00;;80.00;;80.00;;80.00;;SISTEMA DE CONCESSÃO E PAGAMENTO DE SEGUROS (SEGU);Mensal;Estadual;(SOMA DOS PROCESSOS CONCEDIDOS NO PRAZO / SOMA DE PROCESSOS CONCEDIDOS) * 100;;;03/11/2021 14:06:00;;MAIOR
27;PRODUÇÃO E MODERNIZAÇÃO DO DIÁRIO OFICIAL ELETRÔNICO MINAS GERAIS;False;ÍNDICE DE EFICIÊNCIA NA CELEBRAÇÃO DE CONTRATOS (IEC) DE PUBLICAÇÃO NO DIÁRIO OFICIAL;;Percentual;5.50;;12/08/2019;80.00;;85.00;;90.00;;90.00;;DIRETORIA DE GESTÃO E RELACIONAMENTO/SIOMG;Trimestral;Estadual;IEC = (NÚMERO DE CONTRATOS CELEBRADOS EM ATÉ 5 DIAS ÚTEIS / TOTAL DE CONTRATOS CELEBRADOS NO TRIMESTRE) * 100;;;03/11/2021 14:06:00;;MAIOR
27;PRODUÇÃO E MODERNIZAÇÃO DO DIÁRIO OFICIAL ELETRÔNICO MINAS GERAIS;False;PERCENTUAL DO ACERVO DO DIÁRIO DO EXECUTIVO (PDI) DISPONIBILIZADO NA INTERNET;;Percentual;11.00;;12/08/2019;53.00;;100.00;;0.00;;0.00;;DIRETORIA DE GESTÃO E RELACIONAMENTO/SIOMG;Anual;Estadual;PERCENTUAL DE DIÁRIOS NA INTERNET (PDI) = (QUANTIDADE DE DIÁRIOS DO EXECUTIVO DISPONIBILIZADO NA INTERNET (EM ANOS) / QUANTIDADE TOTAL DE DIÁRIOS DO EXECUTIVO A DISPONIBILIZAR (EM ANOS)) * 100;;;03/11/2021 14:06:00;;MAIOR
27;PRODUÇÃO E MODERNIZAÇÃO DO DIÁRIO OFICIAL ELETRÔNICO MINAS GERAIS;False;ELEVAÇÃO DO GRAU DE SATISFAÇÃO (EGS) DE CLIENTES COM O SERVIÇO DE PUBLICAÇÃO NO DIÁRIO OFICIAL ELETRÔNICO MINAS GERAIS;;Percentual;65.26;;22/12/2020;10.00;;10.00;;5.00;;0.00;;DIRETORIA DE GESTÃO E RELACIONAMENTO/SIOMG;Anual;Estadual;SE ÍNDICE DO ANO QUE SE APURA > ÍNDICE ANO ANTERIOR: EGS = (ÍNDICE DE SATISFAÇÃO APURADO NO ANO / ÍNDICE DE SATISFAÇÃO APURADO NO ANO ANTERIOR) - 1.SE ÍNDICE DO ANO QUE SE APURA < ÍNDICE ANO ANTERIOR: EGS = (ÍNDICE DE SATISFAÇÃO APURADO NO ANO - ÍNDICE DE SATISFAÇÃO APURADO NO ANO ANTERIOR)/ÍNDICE DE SATISFAÇÃO APURADO NO ANO ANTERIOR;;;03/11/2021 14:06:00;;MAIOR
27;PRODUÇÃO E MODERNIZAÇÃO DO DIÁRIO OFICIAL ELETRÔNICO MINAS GERAIS;False;NÚMERO DE SISTEMA DE INFORMAÇÃO DO GOVERNO DO ESTADO DE MINAS GERAIS INTEGRADOS À BASE DE DADOS DO SISTEMA DE PUBLICAÇÃO DE MATÉRIAS NO DIÁRIO OFICIAL;;UNIDADE;0.00;;12/08/2019;1.00;;1.00;;0.00;;0.00;;SUPERINTENDÊNCIA DE IMPRENSA OFICIAL;Anual;Estadual;O RESULTADO SERÁ APURADO POR MEIO DA VERIFICAÇÃO DO NÚMERO DE SISTEMAS INTEGRADOS AO SISTEMA DE PUBLICAÇÃO DE MATÉRIAS NO DIÁRIO OFICIAL MINAS GERAIS.;;;03/11/2021 14:06:00;;MAIOR
28;COORDENAÇÃO DA ARTICULAÇÃO INSTITUCIONAL DO GOVERNO DO ESTADO DE MINAS GERAIS;False;PERCENTUAL DE PROJETOS DE LEI DE INICIATIVA DO PODER EXECUTIVO APROVADOS NA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS (ALAMG);;Percentual;70.00;;12/08/2019;90.00;;90.00;;90.00;;90.00;;SISTEMA DE ACOMPANHAMENTO DE PROJETOS E PROPOSIÇÕES DE LEI - SIAPLE;Semestral;Estadual;(NUMERO DE PROJETOS DE LEI DE INICIATIVA DO EXECUTIVO APROVADOS / NÚMERO DE PROJETOS DE LEI DE INICIATIVA DO EXECUTIVO VOTADOS)X100.;;;03/11/2021 14:06:00;;MAIOR
29;PROMOÇÃO DE CONCESSÕES E PARCERIAS;False;CONTRATOS DE PPP EM OPERAÇÃO MAIS NOVOS CONTRATOS DE CONCESSÃO;;UNIDADE;6.00;;16/09/2019;8.00;;9.00;;9.00;;9.00;;COORDENADORIA ESPECIAL DE CONCESSÕES E PARCERIAS - CECP;Anual;Estadual;UNIDADE DE PPP EM OPERAÇÃO + NOVOS CONTRATOS DE CONCESSÃO = RESULTADO;;;03/11/2021 14:06:00;;MAIOR
31;APERFEIÇOAMENTO ÀS AÇÕES DE CONTROLE E FOMENTO À GESTÃO DE RISCOS;False;ÍNDICE DE CUMPRIMENTO DO PLANEJAMENTO ANUAL DOS TRABALHOS DE AUDITORIA E FISCALIZAÇÃO;;%;79.41;;31/12/2020;65.00;;70.00;;75.00;;80.00;;AUDITORIA-GERAL;Anual;Estadual;(NÚMERO DE TRABALHOS DE AUDITORIA INTERNA GOVERNAMENTAL PLANEJADOS CONCLUÍDOS/NÚMERO DE TRABALHOS DE AUDITORIA INTERNA GOVERNAMENTAL PLANEJADOS)*100;;;03/11/2021 14:06:00;;MAIOR
31;APERFEIÇOAMENTO ÀS AÇÕES DE CONTROLE E FOMENTO À GESTÃO DE RISCOS;False;COEFICIENTE DE IMPLEMENTAÇÃO DAS ATIVIDADES ESSENCIAIS DOS MACROPROCESSOS-CHAVES (KPA) DO IA-CM;;%;80.00;;31/12/2020;90.00;;94.00;;100.00;;100.00;;AUDITORIA-GERAL;Anual;Estadual;(NÚMERO DE KPA INSTITUCIONALIZADO/NÚMERO TOTAL DE KPA DO NÍVEL IA-CM EM IMPLEMENTAÇÃO)*100;;;03/11/2021 14:06:00;;MAIOR
31;APERFEIÇOAMENTO ÀS AÇÕES DE CONTROLE E FOMENTO À GESTÃO DE RISCOS;False;COEFICIENTE DE IMPLEMENTAÇÃO DOS MACROPROCESSOS-CHAVES (KPA) DO IA-CM;;%;20.00;;06/09/2021;80.00;;90.00;;100.00;;100.00;;AUDITORIA GERAL;Anual;Estadual;(NÚMERO DE KPA INSTITUCIONALIZADO/NÚMERO TOTAL DE KPA DO NÍVEL IA-CM EM IMPLEMENTAÇÃO)*100;;;03/11/2021 14:06:00;;MAIOR
31;APERFEIÇOAMENTO ÀS AÇÕES DE CONTROLE E FOMENTO À GESTÃO DE RISCOS;False;COEFICIENTE DE EVOLUÇÃO DA CAPACIDADE DA AUDITORIA INTERNA - NÍVEL 2 IA-CM;;%;;Em Apuração;;100.00;;100.00;;100.00;;;;AUDITORIA-GERAL;Anual;Estadual;(NÚMERO DE INICIATIVAS IMPLEMENTADAS DO PLANO DE AÇÃO/NÚMERO TOTAL DAS AÇÕES PREVISTAS NO PLANO DE AÇÃO IA-CM)*100AS INICIATIVAS IMPLEMENTADAS COMPREENDEM OS ITENS DESTACADOS EM PLANO DE AÇÃO IA-CM E AS INCIATIVAS IMPLEMENTADAS NO PLANO DE INTEGRIDADE ADERENTES À METODOLOGIA IA-CM.;;;31/08/2021 22:10:00;;MAIOR
31;APERFEIÇOAMENTO ÀS AÇÕES DE CONTROLE E FOMENTO À GESTÃO DE RISCOS;False;COEFICIENTE DE EVOLUÇÃO DA CAPACIDADE DA AUDITORIA INTERNA - NÍVEL 3 IA-CM;;%;;Em Apuração;;40.00;;100.00;;100.00;;;;AUDITORIA-GERAL;Anual;Estadual;(NÚMERO DE INICIATIVAS IMPLEMENTADAS DO PLANO DE AÇÃO/NÚMERO TOTAL DAS AÇÕES PREVISTAS NO PLANO DE AÇÃO IA-CM)*100AS INICIATIVAS IMPLEMENTADAS COMPREENDEM OS ITENS DESTACADOS EM PLANO DE AÇÃO IA-CM E AS INCIATIVAS IMPLEMENTADAS NO PLANO DE INTEGRIDADE ADERENTES À METODOLOGIA IA-CM.;;;31/08/2021 22:10:00;;MAIOR
